V3RD,V4RD,V5RD,V3SRD,V4SRD,LSIRD,TanakaRD,V3IS,V4IS,V5IS,V3SIS,V4SIS,LSIIS,TanakaIS,Prop,Prop_class
-19.6821,-17.1266,-5.0359,-20.6997,-17.9022,0.228472,1.17662,-24.5872,-21.0623,-8.44888,-28.8514,-17.9892,0.266623,1.20418,0.792086184,0
-19.1405,-18.7947,-4.70325,-18.3003,-17.5719,0.0693518,0.710758,-21.9778,-21.9162,-4.82764,-23.2679,-22.4273,0.212491,1.09482,0.566468716,0
-18.6212,-18.4115,-6.24544,-20.8815,-19.1962,0.0946011,0.800989,-24.3762,-23.8619,-5.28142,-28.4041,-25.9216,0.205453,1.05774,0.514734864,0
-23.2153,-22.1077,-5.47648,-27.8175,-20.8712,0.108016,0.886411,-25.6911,-24.5386,-6.26965,-35.0319,-25.4281,0.14489,1.03198,0.433189511,0
-22.6599,-16.0299,-7.32282,-25.7682,-12.6594,0.140997,0.976443,-27.9033,-21.4273,-6.25941,-28.0174,-25.7034,0.437819,1.54901,0.494224995,0
-20.3444,-13.3423,-6.32187,-27.692,-16.7203,0.135028,0.951702,-26.4288,-20.6392,-5.16354,-28.4855,-21.1432,0.27043,1.21741,1.51557553,1
-14.5572,-13.6214,-11.8464,-23.9021,-23.493,0.0568181,0.230026,-20.2983,-18.8577,-7.43554,-22.0904,-20.1587,0.258978,1.19087,1.10535383,1
-26.0777,-24.4147,-8.60825,-27.1572,-21.7243,0.187284,1.01276,-27.4226,-26.7294,-8.13367,-29.8177,-24.96,0.223748,1.10232,0.428456694,0
-20.316,-19.2818,-6.12495,-22.3237,-21.7787,0.158574,0.967823,-19.8045,-18.8726,-6.58798,-25.3063,-20.7937,0.212711,1.07097,0.403332889,0
-21.2796,-19.0756,-5.90776,-28.673,-21.8404,0.125359,0.851762,-23.6699,-21.0177,-6.52123,-30.608,-21.7685,0.270619,1.22763,0.543612838,0
-22.4214,-13.7725,-6.00026,-24.6202,-20.3263,0.116126,-0.217014,-24.0795,-23.1905,-4.75813,-25.9421,-20.1815,0.163486,0.988872,0.460136056,0
-19.8335,-19.105,-6.83623,-22.1495,-18.4499,0.0766176,0.741596,-22.7719,-19.9264,-7.96602,-28.8085,-23.2273,0.24431,1.15432,0.547778547,0
-22.8494,-22.3647,-6.20276,-24.7269,-16.3727,0.116078,0.853608,-26.8743,-25.3309,-8.22349,-25.1107,-24.8288,0.110165,0.863315,0.545597672,0
-23.7934,-19.7171,-9.99759,-28.7401,-28.5447,0.148239,1.07419,-22.369,-21.2371,-16.5355,-30.9206,-24.8876,0.255512,1.32493,0.217660338,0
-19.2734,-19.0225,-7.29717,-27.0916,-27.0041,0.137586,0.963913,-25.3594,-19.7314,-5.45382,-27.7371,-26.0158,0.336841,1.35053,1.30319941,1
-23.3888,-23.3877,-4.80734,-24.4419,-16.811,0.221539,1.12674,-27.4432,-25.4459,-5.4196,-28.0975,-26.7005,0.312577,1.30253,0.373962522,0
-24.9563,-19.8502,-6.04403,-24.1827,-17.2668,0.0366239,0.397943,-26.3027,-25.3731,-6.96282,-23.9893,-23.3481,0.0337384,0.373381,0.578185976,0
-23.7203,-12.1221,-6.16951,-28.2117,-16.83,0.056654,0.575796,-24.9484,-18.2804,-6.65885,-30.8331,-25.8802,0.0802038,0.758493,0.495743036,0
-23.1332,-20.4913,-6.83556,-27.6424,-21.1459,0.267703,1.26753,-27.0466,-24.1542,-6.80378,-28.0471,-27.1951,0.375422,1.42283,0.347755611,0
-23.4924,-21.612,-4.74181,-26.4312,-23.5361,0.131446,0.921969,-25.0996,-23.7446,-4.92589,-29.532,-24.3072,0.324674,1.33871,0.574479401,0
-23.4496,-22.7424,-5.8989,-27.9594,-27.6409,0.207674,1.1437,-26.5247,-21.5785,-7.01196,-27.8845,-25.6582,0.394993,1.45925,0.318249613,0
-17.5305,-16.5462,-5.48599,-13.6205,-11.1138,0.0105843,0.0580406,-20.2791,-18.5831,-6.78423,-15.993,-15.8394,0.0315788,0.544742,0.470466048,0
-22.8952,-19.5721,-7.61262,-23.3384,-21.7848,0.217949,1.15018,-20.959,-19.7769,-7.13088,-24.3674,-24.0344,0.255962,1.17879,0.467561543,0
-19.8233,-16.5848,-9.25355,-23.3188,-15.9757,0.0988742,0.821498,-24.2074,-20.9388,-8.49892,-30.2931,-25.845,0.222717,1.10326,0.51530987,0
-24.6158,-20.6833,-4.04214,-23.1203,-22.4001,0.134273,0.963126,-27.0016,-26.2248,-5.09265,-27.3772,-26.7779,0.397905,1.47117,0.747159123,0
-19.3363,-6.31324,-5.39975,-22.7028,-18.1562,0.184128,1.07548,-24.7388,-14.8464,-4.93222,-25.9894,-19.1218,0.310692,1.32066,1.93672991,1
-23.3857,-23.3582,-5.75481,-26.4795,-22.8571,0.13711,0.92247,-25.1644,-21.9303,-6.40674,-26.6162,-25.701,0.169525,0.976861,0.324575692,0
-20.9654,-15.2276,-6.98048,-28.6931,-18.9818,0.0883852,0.805555,-23.8004,-22.6579,-6.15825,-30.3005,-25.0229,0.195679,1.04368,1.64966142,1
-18.4954,-16.8601,-5.55857,-20.5125,-17.0426,0.0946907,0.816931,-19.7907,-18.1966,-6.5948,-20.5228,-19.7978,0.181031,1.02736,0.41356954,0
-20.7862,-14.6016,-6.33619,-25.6646,-24.2695,0.215624,1.14496,-26.2406,-20.6353,-5.85738,-28.9204,-26.9212,0.325054,1.34183,0.304040879,0
-23.0233,-15.7731,-9.03318,-27.4142,-15.3468,0.022695,0.443475,-23.7949,-19.9341,-6.18055,-31.1261,-20.3294,0.20279,1.05468,0.246141225,0
-25.6019,-18.8548,-5.64488,-24.8875,-21.1798,0.166538,0.995528,-26.7137,-25.4093,-5.48417,-32.1278,-26.2802,0.265204,1.20626,0.432893455,0
-23.1653,-16.8119,-6.93977,-26.4069,-22.5226,0.0602854,0.687802,-27.9271,-19.4105,-6.34118,-29.2017,-23.5045,0.280514,1.24293,1.09702671,1
-23.0989,-21.7398,-7.86559,-27.5932,-26.1321,0.170194,0.968417,-22.8574,-21.0954,-6.15204,-27.8473,-25.5136,0.216551,1.08741,0.842893779,0
-21.6606,-21.3356,-6.42288,-27.6001,-26.5699,0.112355,0.877327,-25.361,-19.1727,-7.68224,-28.1956,-28.1893,0.320391,1.31175,1.30731642,1
-22.003,-16.373,-5.64467,-22.5747,-21.6185,0.105422,0.550901,-22.2864,-21.077,-5.12785,-25.6829,-24.0401,0.173043,0.977943,0.638829708,0
-20.6877,-12.8318,-7.00894,-22.2711,-16.2713,0.0245223,0.289471,-24.69,-20.4744,-5.90511,-29.9436,-24.6378,0.202412,1.07825,2.55757594,1
-16.9707,-14.2094,-7.90874,-19.7284,-16.0787,0.171281,1.06093,-19.6408,-19.0716,-9.74403,-21.4318,-18.0573,0.233023,1.12765,4.3998704,1
-18.5446,-18.4563,-5.48689,-23.9131,-16.9554,0.171146,1.04669,-20.7459,-19.9729,-5.84875,-24.3514,-23.7023,0.246985,1.17239,1.02497518,1
-21.3918,-19.7718,-3.78225,-25.684,-23.4303,0.314956,1.37161,-23.8331,-23.4472,-4.9841,-28.9674,-27.0907,0.406362,1.48212,0.368661106,0
-19.573,-16.7635,-7.30546,-28.4033,-14.8111,0.0994684,0.79294,-22.9523,-20.0769,-5.75442,-27.4412,-20.8985,0.293524,1.25815,0.472714305,0
-21.7335,-21.1928,-5.85682,-25.3353,-21.5989,0.174104,1.03472,-23.5498,-21.9831,-5.82504,-25.5727,-21.1759,0.367657,1.41312,0.264927298,0
-22.5007,-21.8581,-6.59277,-28.8881,-28.3591,0.129133,0.871433,-24.0565,-21.1814,-5.74184,-29.3589,-28.3399,0.291236,1.26249,0.532156467,0
-23.2499,-21.0755,-6.31144,-26.5073,-24.4105,0.164041,1.0196,-27.8461,-22.5538,-5.98876,-28.713,-28.5485,0.235376,1.14174,1.85930836,1
-18.4637,-14.8787,-5.47183,-16.6901,-13.955,0.113824,0.886873,-21.5684,-21.4588,-4.83381,-27.4077,-23.1895,0.234479,1.13369,0.234005019,0
-17.7815,-17.4236,-7.10908,-26.1898,-24.7045,0.0512958,0.595521,-27.0416,-19.0553,-5.65174,-27.6838,-25.9464,0.22728,1.12403,0.434821159,0
